,current_combo,valid_train_start_date, valid_train_end_date,valid_end_date,oos_square
2039,"(17, 1, 15, 10, '')",2006-02-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,0.36801541425818884
2040,"(16, 1, 10, 10, 'mi')",2005-04-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,0.6264855687606112
2041,"(16, 1, 10, 10, 'mi')",2006-06-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,0.6077057793345009
2042,"(16, 1, 10, 10, 'mi')",2007-08-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,0.14132379248658322
2043,"(16, 1, 10, 10, 'mi')",2008-10-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,0.708029197080292
2044,"(16, 1, 10, 10, 'mi')",2011-03-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,0.6138996138996139
2045,"(16, 1, 10, 10, '')",2005-04-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,0.5857385398981324
2046,"(16, 1, 10, 10, '')",2006-06-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,0.6077057793345009
2047,"(16, 1, 10, 10, '')",2007-08-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,0.12701252236135963
2048,"(16, 1, 10, 10, '')",2008-10-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,0.7153284671532847
2049,"(16, 1, 10, 10, '')",2011-03-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,0.6447876447876448
2050,"(16, 1, 15, 10, 'mi')",2005-04-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,-0.20527306967984926
2051,"(16, 1, 15, 10, 'mi')",2005-06-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,0.36242884250474383
2052,"(16, 1, 15, 10, 'mi')",2005-08-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,-0.8935361216730038
2053,"(16, 1, 15, 10, 'mi')",2005-10-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,0.2810707456978967
2054,"(16, 1, 15, 10, 'mi')",2006-03-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,0.6216216216216216
2055,"(16, 1, 15, 10, '')",2005-04-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,-0.12994350282485878
2056,"(16, 1, 15, 10, '')",2005-06-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,0.3548387096774194
2057,"(16, 1, 15, 10, '')",2005-08-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,-1.0228136882129277
2058,"(16, 1, 15, 10, '')",2005-10-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,0.2581261950286807
2059,"(16, 1, 15, 10, '')",2006-03-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,0.6447876447876448
2060,"(17, 1, 10, 10, 'mi')",2004-04-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,0.468013468013468
2061,"(17, 1, 10, 10, 'mi')",2005-08-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,-0.39011925042589435
2062,"(17, 1, 10, 10, 'mi')",2006-12-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,0.5360281195079086
2063,"(17, 1, 10, 10, 'mi')",2008-04-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,0.06642728904847395
2064,"(17, 1, 10, 10, 'mi')",2011-03-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,0.6138996138996139
2065,"(17, 1, 10, 10, '')",2004-04-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,0.42087542087542085
2066,"(17, 1, 10, 10, '')",2005-08-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,-0.424190800681431
2067,"(17, 1, 10, 10, '')",2006-12-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,0.5360281195079086
2068,"(17, 1, 10, 10, '')",2008-04-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,0.02333931777378817
2069,"(17, 1, 10, 10, '')",2011-03-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,0.6447876447876448
2070,"(17, 1, 15, 10, 'mi')",2004-04-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,-0.5202952029520296
2071,"(17, 1, 15, 10, 'mi')",2004-08-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,0.23703703703703705
2072,"(17, 1, 15, 10, 'mi')",2004-12-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,0.9024390243902439
